req,origin_station,destination_station,start_driving_time,arriving_time,Rev
461,55,75,140,141,326
461,55,80,140,141,326
461,55,85,140,141,326
461,60,2,140,141,326
461,60,32,140,141,326
461,60,38,140,141,326
461,60,52,140,141,326
461,60,54,140,141,326
461,60,62,140,141,326
461,60,73,140,141,326
461,60,75,140,141,326
461,60,79,140,141,326
461,60,80,140,141,326
461,60,82,140,141,326
461,60,85,140,141,326
461,61,2,140,141,326
461,61,32,140,141,326
461,61,38,140,141,326
461,61,52,140,141,326
461,61,54,140,141,326
461,61,62,140,141,326
461,61,73,140,141,326
461,61,75,140,141,326
461,61,79,140,141,326
461,61,80,140,141,326
461,61,85,140,141,326
461,70,2,140,141,326
461,70,32,140,141,326
461,70,33,140,141,326
461,70,34,140,141,326
461,70,35,140,141,326
461,70,38,140,141,326
461,70,44,140,141,326
461,70,45,140,141,326
461,70,52,140,141,326
461,70,54,140,141,326
461,70,62,140,141,326
461,70,71,140,141,326
461,70,73,140,141,326
461,70,75,140,141,326
461,70,79,140,141,326
461,70,80,140,141,326
461,70,82,140,141,326
461,70,85,140,141,326
470,33,30,142,143,340
470,33,31,142,143,340
470,33,40,142,143,340
470,33,54,142,143,340
470,33,70,142,143,340
470,43,30,142,143,340
470,43,54,142,143,340
470,53,54,142,143,340
471,33,30,142,143,340
471,33,31,142,143,340
471,33,40,142,143,340
471,33,54,142,143,340
471,33,70,142,143,340
471,43,30,142,143,340
471,43,54,142,143,340
471,53,54,142,143,340
476,3,56,143,144,372
476,15,56,143,144,372
476,16,56,143,144,372
476,17,56,143,144,372
476,18,56,143,144,372
476,19,56,143,144,372
476,49,56,143,144,372
476,57,56,143,144,372
476,58,56,143,144,372
476,59,56,143,144,372
476,64,56,143,144,372
476,65,56,143,144,372
497,47,36,147,148,254
507,9,60,150,151,323
507,9,61,150,151,323
507,25,61,150,151,323
507,28,60,150,151,323
507,28,61,150,151,323
507,29,60,150,151,323
507,29,61,150,151,323
507,46,61,150,151,323
507,47,60,150,151,323
507,47,61,150,151,323
507,51,60,150,151,323
507,51,61,150,151,323
507,69,60,150,151,323
507,69,61,150,151,323
507,72,60,150,151,323
507,72,61,150,151,323
515,29,60,151,152,258
515,29,61,151,152,258
521,28,70,153,154,358
522,28,70,153,154,358
523,32,55,154,155,270
523,62,55,154,155,270
523,75,55,154,155,270
523,80,55,154,155,270
531,33,7,156,157,345
531,33,30,156,157,345
531,33,31,156,157,345
531,33,38,156,157,345
531,33,40,156,157,345
531,33,54,156,157,345
531,33,70,156,157,345
531,43,7,156,157,345
531,43,30,156,157,345
531,43,38,156,157,345
531,43,54,156,157,345
531,53,54,156,157,345
549,28,70,162,163,325
571,11,61,167,168,364
576,61,2,167,168,262
576,61,32,167,168,262
576,61,38,167,168,262
576,61,52,167,168,262
576,61,62,167,168,262
576,61,73,167,168,262
576,61,75,167,168,262
576,61,79,167,168,262
576,61,80,167,168,262
585,2,30,171,172,326
585,2,31,171,172,326
585,2,36,171,172,326
585,2,40,171,172,326
585,2,54,171,172,326
585,2,61,171,172,326
585,2,70,171,172,326
585,2,76,171,172,326
585,7,30,171,172,326
585,7,31,171,172,326
585,7,36,171,172,326
585,7,40,171,172,326
585,7,54,171,172,326
585,7,61,171,172,326
585,7,70,171,172,326
585,7,76,171,172,326
585,30,31,171,172,326
585,30,36,171,172,326
585,30,40,171,172,326
585,30,54,171,172,326
585,30,61,171,172,326
585,30,70,171,172,326
585,30,76,171,172,326
585,31,30,171,172,326
585,31,36,171,172,326
585,31,40,171,172,326
585,31,54,171,172,326
585,31,61,171,172,326
585,31,70,171,172,326
585,31,76,171,172,326
585,32,30,171,172,326
585,32,31,171,172,326
585,32,36,171,172,326
585,32,40,171,172,326
585,32,54,171,172,326
585,32,61,171,172,326
585,32,70,171,172,326
585,32,76,171,172,326
585,33,30,171,172,326
585,33,31,171,172,326
585,33,40,171,172,326
585,33,54,171,172,326
585,33,70,171,172,326
585,34,30,171,172,326
585,34,31,171,172,326
585,34,40,171,172,326
585,34,54,171,172,326
585,34,70,171,172,326
585,35,30,171,172,326
585,35,31,171,172,326
585,35,40,171,172,326
585,35,54,171,172,326
585,35,70,171,172,326
585,38,30,171,172,326
585,38,31,171,172,326
585,38,36,171,172,326
585,38,40,171,172,326
585,38,54,171,172,326
585,38,61,171,172,326
585,38,70,171,172,326
585,38,76,171,172,326
585,40,30,171,172,326
585,40,31,171,172,326
585,40,36,171,172,326
585,40,54,171,172,326
585,40,61,171,172,326
585,40,70,171,172,326
585,40,76,171,172,326
585,43,30,171,172,326
585,43,54,171,172,326
585,44,30,171,172,326
585,44,31,171,172,326
585,44,40,171,172,326
585,44,54,171,172,326
585,44,70,171,172,326
585,45,30,171,172,326
585,45,31,171,172,326
585,45,36,171,172,326
585,45,40,171,172,326
585,45,54,171,172,326
585,45,70,171,172,326
585,45,76,171,172,326
585,48,30,171,172,326
585,48,31,171,172,326
585,48,40,171,172,326
585,48,54,171,172,326
585,48,61,171,172,326
585,48,70,171,172,326
585,48,76,171,172,326
585,52,30,171,172,326
585,52,31,171,172,326
585,52,36,171,172,326
585,52,40,171,172,326
585,52,54,171,172,326
585,52,61,171,172,326
585,52,70,171,172,326
585,52,76,171,172,326
585,53,54,171,172,326
585,54,30,171,172,326
585,54,31,171,172,326
585,54,36,171,172,326
585,54,40,171,172,326
585,54,61,171,172,326
585,54,70,171,172,326
585,54,76,171,172,326
585,56,30,171,172,326
585,56,31,171,172,326
585,56,36,171,172,326
585,56,40,171,172,326
585,56,54,171,172,326
585,56,61,171,172,326
585,56,70,171,172,326
585,56,76,171,172,326
585,62,30,171,172,326
585,62,31,171,172,326
585,62,36,171,172,326
585,62,40,171,172,326
585,62,54,171,172,326
585,62,61,171,172,326
585,62,70,171,172,326
585,62,76,171,172,326
585,71,30,171,172,326
585,71,31,171,172,326
585,71,40,171,172,326
585,71,54,171,172,326
585,71,70,171,172,326
585,73,30,171,172,326
585,73,31,171,172,326
585,73,40,171,172,326
585,73,54,171,172,326
585,73,61,171,172,326
585,73,70,171,172,326
585,73,76,171,172,326
585,75,30,171,172,326
585,75,31,171,172,326
585,75,36,171,172,326
585,75,40,171,172,326
585,75,54,171,172,326
585,75,61,171,172,326
585,75,70,171,172,326
585,75,76,171,172,326
585,79,30,171,172,326
585,79,31,171,172,326
585,79,40,171,172,326
585,79,54,171,172,326
585,79,61,171,172,326
585,79,70,171,172,326
585,79,76,171,172,326
585,80,30,171,172,326
585,80,31,171,172,326
585,80,36,171,172,326
585,80,40,171,172,326
585,80,54,171,172,326
585,80,61,171,172,326
585,80,70,171,172,326
585,80,76,171,172,326
585,82,30,171,172,326
585,82,31,171,172,326
585,82,36,171,172,326
585,82,40,171,172,326
585,82,54,171,172,326
585,82,70,171,172,326
585,82,76,171,172,326
585,85,30,171,172,326
585,85,31,171,172,326
585,85,36,171,172,326
585,85,40,171,172,326
585,85,54,171,172,326
585,85,61,171,172,326
585,85,70,171,172,326
585,85,76,171,172,326
606,30,2,177,178,329
606,30,32,177,178,329
606,30,33,177,178,329
606,30,34,177,178,329
606,30,35,177,178,329
606,30,43,177,178,329
606,30,44,177,178,329
606,30,45,177,178,329
606,30,52,177,178,329
606,30,62,177,178,329
606,30,71,177,178,329
606,30,75,177,178,329
